company_name,ats_type,slug_or_url,careers_url,active,source,added
Stripe,greenhouse,stripe,https://boards.greenhouse.io/stripe,yes,starter,2026-07-22
Coinbase,greenhouse,coinbase,https://boards.greenhouse.io/coinbase,yes,starter,2026-07-22
Ramp,ashby,ramp,https://jobs.ashbyhq.com/ramp,yes,starter,2026-07-22
CircuitHub,ashby,circuithub,https://circuithub.com,yes,yc-seed,2026-07-22
Rescale,ashby,rescale,https://rescale.com,yes,yc-seed,2026-07-22
Gusto,greenhouse,gusto,https://gusto.com,yes,yc-seed,2026-07-22
Amplitude,greenhouse,amplitude,https://amplitude.com,yes,yc-seed,2026-07-22
Y Combinator,ashby,ycombinator,https://www.ycombinator.com,yes,yc-seed,2026-07-22
Apollo,ashby,apollo-graphql,http://apollographql.com/,yes,yc-seed,2026-07-22
OneSignal,scrape,https://onesignal.com,https://onesignal.com,no,yc-seed,2026-07-22
Streak,scrape,http://streak.com,http://streak.com,no,yc-seed,2026-07-22
Quartzy,lever,quartzy,https://www.quartzy.com,yes,yc-seed,2026-07-22
AgileMD,scrape,https://agilemd.com,https://agilemd.com,no,yc-seed,2026-07-22
Sift,ashby,sift,https://sift.com/,yes,yc-seed,2026-07-22
MixRank,scrape,https://mixrank.com,https://mixrank.com,no,yc-seed,2026-07-22
GOAT Group,greenhouse,goatgroup,https://www.goatgroup.com/,yes,yc-seed,2026-07-22
SmartAsset,greenhouse,smartasset,http://smartasset.com,yes,yc-seed,2026-07-22
Zapier,ashby,zapier,http://zapier.com,yes,yc-seed,2026-07-22
Instacart,greenhouse,instacart,https://www.instacart.com,yes,yc-seed,2026-07-22
BuildZoom,lever,buildzoom,https://www.buildzoom.com,yes,yc-seed,2026-07-22
Padlet,ashby,padlet,https://padlet.com,yes,yc-seed,2026-07-22
InfluxData,ashby,influxdata,https://influxdata.com,yes,yc-seed,2026-07-22
RADAR,greenhouse,radar,https://goradar.com,yes,yc-seed,2026-07-22
Goldbelly,scrape,https://www.goldbelly.com/,https://www.goldbelly.com/,no,yc-seed,2026-07-22
Lob,greenhouse,lob,http://lob.com,yes,yc-seed,2026-07-22
Webflow,greenhouse,webflow,https://webflow.com,yes,yc-seed,2026-07-22
AptDeco,scrape,https://www.aptdeco.com/,https://www.aptdeco.com/,no,yc-seed,2026-07-22
Noora Health,scrape,http://noorahealth.org,http://noorahealth.org,no,yc-seed,2026-07-22
Flexport,greenhouse,flexport,https://www.flexport.com/careers/jobs/,yes,yc-seed,2026-07-22
Algolia,greenhouse,algolia,http://www.algolia.com,yes,yc-seed,2026-07-22
Checkr,greenhouse,checkr,http://www.checkr.com,yes,yc-seed,2026-07-22
PicnicAI,greenhouse,embed,https://picnic.ai,yes,yc-seed,2026-07-22
ShipBob,scrape,http://shipbob.com,http://shipbob.com,no,yc-seed,2026-07-22
Hive,greenhouse,hive,http://www.hive.co,yes,yc-seed,2026-07-22
Ginkgo Bioworks,greenhouse,ginkgobioworks,http://ginkgobioworks.com,yes,yc-seed,2026-07-22
Notable Labs,ashby,notable,http://notablelabs.com,yes,yc-seed,2026-07-22
Qventus,greenhouse,qventus,http://qventus.com,yes,yc-seed,2026-07-22
Magic,scrape,https://getmagic.com/,https://getmagic.com/,no,yc-seed,2026-07-22
Tempo,greenhouse,tempo,https://tempo.fit/,yes,yc-seed,2026-07-22
EquipmentShare,scrape,https://www.equipmentshare.com,https://www.equipmentshare.com,no,yc-seed,2026-07-22
Giveffect,scrape,http://giveffect.com,http://giveffect.com,no,yc-seed,2026-07-22
Razorpay,greenhouse,razorpaysoftwareprivatelimited,https://razorpay.com,yes,yc-seed,2026-07-22
Tab,scrape,https://www.tab.travel,https://www.tab.travel,no,yc-seed,2026-07-22
Tara AI,scrape,http://www.tara.ai,http://www.tara.ai,no,yc-seed,2026-07-22
Mashgin,lever,mashgin,http://mashgin.com,yes,yc-seed,2026-07-22
Lugg,scrape,http://lugg.com,http://lugg.com,no,yc-seed,2026-07-22
Ironclad,ashby,ironcladhq,http://ironcladapp.com,yes,yc-seed,2026-07-22
New Story,greenhouse,new,http://newstoryhomes.org,yes,yc-seed,2026-07-22
Gemnote,scrape,http://gemnote.com,http://gemnote.com,no,yc-seed,2026-07-22
SnapMagic,ashby,snapmagic,https://www.snapmagic.com,yes,yc-seed,2026-07-22
